ICAO,Name,City,Elevation,Longitude,Latitude
VTBS,Suvarnabhumi Intl,,4,100.7476807,13.68084145
VTBT,Bang Pra,Chon Buri,79,100.9573059,13.23285675
VTBU,U-Taphao Intl,Rayong,41,101.004982,12.67978954
VTBW,Watthana Nakhon,Watthana Nakhon,225,102.3155441,13.76873779
VTCB,Chiangkham AB,Chiangkham,1292,100.2849274,19.49941063
VTCC,Chiang Mai Intl,Chiang Mai,1021,98.962883,18.7684021
VTCH,Mae Hong Son,Mae Hong Son,897,97.9759903,19.30159569
VTCI,Pai,,1676,98.43613434,19.37283325
VTCL,Lampang,Lampang,800,99.50411987,18.27116776
VTCN,Nan,Nan,680,100.7834015,18.80789185
VTCO,Lamphun Airport,Lamphun,948,99.0124588,18.54906654
VTCP,Phrae,Phrae,536,100.1647186,18.13215065
VTCS,Mae Sariang Airport,Pa Pae,724,97.93066406,18.18131065
VTCT,Chiang Rai Intl,Chiang Rai,1278,99.88295746,19.95232773
VTKA,Kabin Buri Airport,Kabin Buri,54,101.7036285,14.02306271
VTKC,Ko Chang Tai Airport,Ko Chang Tai,23,102.2969589,12.05243874
VTKO,Ko Kut Airport,Ko Kut,0,102.5201874,11.71726799
VTLA,Lak Si Airport,Lak Si,20,100.5938034,13.86859798
VTLE,Loeng Nok Tha Airport,Loeng Nok Tha,526,104.5932693,16.15962601
VTLO,Lop Buri Airport,Lop Buri,54,100.6526031,14.77407551
VTOG,Ongkharak Airport,Ongkharak,13,101.0013733,14.11044693
VTOK,Ongkharak Airport,Ongkharak,14,101.001358,14.11048317
VTON,Klong 15 Airfield,Ongkharak,16,100.949379,14.11465645
VTPA,Eastern Flying Club,Phatthaya,159,100.933197,12.90256405
VTPB,Phetchabun,Phetchabun,449,101.1951447,16.67603874
VTPD,Pluak Daeng Airport,Pluak Daeng,193,101.1837845,12.92124081
VTPH,Hua Hin Aero,Prachuap Khiri Khan,39,99.95135498,12.63579082
VTPI,Takhli,Nakhon Sawan,84,100.2958832,15.27733421
VTPK,Prachom Klao Airfield,Pak Phli,56,101.3371811,14.16361618
VTPL,Sak Long,Sak Long,543,101.2513199,16.82431602
VTPM,Mae Sot Aero,Tak,683,98.54506683,16.69985199
VTPN,Nakhon Sawan,Nakhon Sawan,113,100.1368256,15.67307377
